City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,bonab,37.3404,46.0561,5.25,81,0,2.06,IR,1699151148
233,alo,7.4178,6.7371,23.97,93,96,1.26,NG,1699151149
234,tomsk,58.5,82.5,-5.4,85,100,8.22,RU,1699151149
235,kalmunai,7.4167,81.8167,26.13,83,95,0.95,LK,1699151149
236,itacare,-14.2775,-38.9967,25.37,91,34,3.82,BR,1699151149
237,lerwick,60.1545,-1.1494,8.0,84,22,2.82,GB,1699151149
238,egilsstadir,65.2653,-14.3948,3.95,93,100,9.77,IS,1699151150
239,kerikeri,-35.2268,173.9474,21.62,70,12,0.45,NZ,1699151150
240,iquique,-20.2208,-70.1431,19.02,70,30,1.46,CL,1699150922
241,usinsk,65.9939,57.5281,-10.52,92,15,4.92,RU,1699151151
242,belyy yar,53.6039,91.3903,-8.06,79,0,2.0,RU,1699151151
243,saint-pierre,-21.3393,55.4781,23.65,87,96,3.89,RE,1699151151
244,basoko,1.2391,23.616,20.76,97,100,1.83,CD,1699151152
245,broadstairs,51.3591,1.4394,9.33,98,72,1.34,GB,1699150887
246,columbia falls,48.3725,-114.1815,9.33,94,100,0.0,US,1699151152
247,nushki,29.5542,66.0215,18.72,32,14,2.88,PK,1699151152
248,mount gambier,-37.8333,140.7667,20.57,42,4,4.93,AU,1699151153
249,iyidere,41.0119,40.3619,19.98,52,47,3.48,TR,1699151153
250,hithadhoo,-0.6,73.0833,27.38,79,100,6.9,MV,1699151153
251,gaiman,-43.2897,-65.4929,21.99,36,98,8.94,AR,1699151153
252,kayangel,8.0823,134.7173,28.79,74,86,3.01,PW,1699151154
253,ust'-uda,54.1742,103.0304,-7.67,60,100,3.8,RU,1699151154
254,tadine,-21.55,167.8833,24.03,60,65,5.91,NC,1699151154
255,leava,-14.3,-178.1667,27.81,82,98,8.46,WF,1699151154
256,coquimbo,-29.9533,-71.3436,13.85,88,20,2.06,CL,1699151155
257,caribou,46.8606,-68.012,2.77,78,0,1.54,US,1699151155
258,keminmaa,65.8596,24.8228,-0.13,86,100,6.69,FI,1699151155
259,zakynthos,37.7914,20.8953,17.02,59,100,2.83,GR,1699151155
260,peristeri,38.0167,23.7,19.55,74,20,1.03,GR,1699151156
261,carloforte,39.145,8.3058,20.75,80,23,12.33,IT,1699151156
262,tyul'gan,52.3405,56.166,0.98,87,0,2.69,RU,1699151156
263,ca mau,9.1769,105.15,29.65,76,100,4.11,VN,1699151156
264,praia da vitoria,38.7333,-27.0667,15.14,67,20,7.15,PT,1699151158
265,sinop,41.7711,34.8709,16.6,54,88,4.38,TR,1699151158
266,sao gabriel da cachoeira,-0.1303,-67.0892,21.69,98,100,1.15,BR,1699151158
267,kourou,5.1552,-52.6478,27.03,90,6,3.38,GF,1699151159
268,new plymouth,-39.0667,174.0833,15.17,67,49,4.94,NZ,1699151159
269,otjimbingwe,-22.35,16.1333,18.42,31,0,1.28,NA,1699151160
270,katsuura,35.1333,140.3,22.61,67,100,2.87,JP,1699151160
271,rancho palos verdes,33.7445,-118.387,21.71,80,40,4.12,US,1699151160
272,masterton,-40.9597,175.6575,17.16,45,66,1.33,NZ,1699151160
273,dudinka,69.4058,86.1778,-7.43,93,100,10.28,RU,1699151161
274,arauca,7.0847,-70.7591,22.46,88,54,1.0,CO,1699150904
275,ormara,25.2088,64.6357,25.99,80,8,1.77,PK,1699151161
276,pervomayskoye,43.919,46.7102,9.89,86,7,3.2,RU,1699151161
277,isafjordur,66.0755,-23.124,-0.72,93,100,16.41,IS,1699151162
278,tulum,20.2167,-87.4667,23.9,95,99,3.62,MX,1699151162
279,vredendal,-31.6683,18.5012,12.67,87,0,1.51,ZA,1699151162
280,kapoeta,4.7717,33.5903,21.43,90,100,3.47,SS,1699151163
281,lepsy,46.235,78.9456,3.09,60,100,4.16,KZ,1699151163
282,jianshui,23.6363,102.8264,21.56,72,92,2.17,CN,1699151163
283,susanville,40.4163,-120.653,15.91,51,100,1.54,US,1699151164
284,harrai,22.6167,79.2167,20.22,48,3,0.36,IN,1699151164
285,treinta y tres,-33.2333,-54.3833,8.14,87,0,1.28,UY,1699151164
286,kirillov,59.863,38.3813,3.32,95,100,4.69,RU,1699151164
287,tucurui,-3.7661,-49.6725,24.74,85,26,0.68,BR,1699151165
288,talcahuano,-36.7167,-73.1167,11.82,87,20,2.06,CL,1699151115
289,happy valley-goose bay,53.3168,-60.3315,-1.83,54,40,9.77,CA,1699151165
290,coahuayana de hidalgo,18.7,-103.6583,25.76,88,100,0.54,MX,1699151165
291,port saint john's,-31.6229,29.5448,18.65,88,100,2.26,ZA,1699151165
292,goshainganj,26.5833,82.3833,21.13,54,0,1.35,IN,1699151166
293,pechora,65.1472,57.2244,-10.08,94,48,3.13,RU,1699151166
294,bafq,31.6128,55.4107,14.42,71,88,1.62,IR,1699151166
295,huai khot,15.2909,99.6166,28.0,79,93,0.05,TH,1699151167
296,mogadishu,2.0371,45.3438,26.98,79,100,2.88,SO,1699151098
297,new norfolk,-42.7826,147.0587,16.62,34,8,1.07,AU,1699151167
298,ravar,31.2656,56.8055,13.58,64,18,0.33,IR,1699151168
299,inarajan village,13.2736,144.7484,32.54,82,80,6.36,GU,1699151168
300,kuta,-8.7233,115.1723,30.97,70,40,5.14,ID,1699151168
301,gnesta,59.0475,17.3119,7.81,95,91,2.65,SE,1699151168
302,alta,69.9689,23.2717,-5.41,82,100,5.66,NO,1699151169
303,yershov,51.3513,48.2766,1.98,78,1,3.04,RU,1699151169
304,kandiari,26.9156,68.5216,25.18,27,0,2.55,PK,1699151170
305,sitka,57.0531,-135.33,9.94,76,75,0.0,US,1699151170
306,quellon,-43.1167,-73.6167,7.79,91,100,2.53,CL,1699151170
307,twon-brass,4.3151,6.2418,26.7,81,27,2.39,NG,1699151171
308,flin flon,54.7682,-101.865,-5.57,67,100,2.79,CA,1699151171
309,daga,27.0753,89.8769,14.21,64,26,0.29,BT,1699151171
310,mount pearl,47.5166,-52.7813,10.08,89,100,8.75,CA,1699151171
311,geraldton,-28.7667,114.6,24.23,60,15,5.66,AU,1699151173
312,rabaul,-4.1967,152.1721,28.41,72,89,2.47,PG,1699151173
313,yaren,-0.5472,166.916,27.28,79,100,2.89,NR,1699151173
314,the dalles,45.5946,-121.1787,15.35,96,100,0.45,US,1699151174
315,pauini,-7.7136,-66.9764,23.37,98,82,2.49,BR,1699151174
